focus,A,actual_dist,score,Pred_dist
600,1.8,300,334026804,300.6783226
600,1.8,400,228283112,400.8454762
600,1.8,500,350660982,501.0126297
600,1.8,600,2112444228,601.1797833
600,1.8,700,289853252,701.3469368
600,1.8,800,103412130,801.5140904
600,1.8,900,79565418,901.6812439
600,2,300,313273398,300.6783226
600,2,400,267116128,400.8454762
600,2,500,475412442,501.0126297
600,2,600,2574460810,601.1797833
600,2,700,366246518,701.3469368
600,2,800,144915918,801.5140904
600,2,900,113513994,901.6812439
600,2.2,300,291278548,300.6783226
600,2.2,400,253670088,400.8454762
600,2.2,500,381625786,501.0126297
600,2.2,600,1478965926,601.1797833
600,2.2,700,289961202,701.3469368
600,2.2,800,115687636,801.5140904
600,2.2,900,85303114,901.6812439
600,2.5,300,305936270,300.6783226
600,2.5,400,253223554,400.8454762
600,2.5,500,402457810,501.0126297
600,2.5,600,1827127814,601.1797833
600,2.5,700,300451616,701.3469368
600,2.5,800,106220886,801.5140904
600,2.5,900,68295204,901.6812439
600,2.8,300,323682924,300.6783226
600,2.8,400,273153382,400.8454762
600,2.8,500,437013706,501.0126297
600,2.8,600,1979617868,601.1797833
600,2.8,700,344324168,701.3469368
600,2.8,800,164079022,801.5140904
600,2.8,900,86938212,901.6812439
600,3.2,300,274745680,300.6783226
600,3.2,400,296909516,400.8454762
600,3.2,500,479089550,501.0126297
600,3.2,600,3408390066,601.1797833
600,3.2,700,380857346,701.3469368
600,3.2,800,172162042,801.5140904
600,3.2,900,107248826,901.6812439
600,3.5,300,326996910,300.6783226
600,3.5,400,267213682,400.8454762
600,3.5,500,483669482,501.0126297
600,3.5,600,2431328566,601.1797833
600,3.5,700,447000014,701.3469368
600,3.5,800,221377350,801.5140904
600,3.5,900,125858912,901.6812439
600,4,300,357770326,300.6783226
600,4,400,340578706,400.8454762
600,4,500,575197098,501.0126297
600,4,600,2729152470,601.1797833
600,4,700,463632790,701.3469368
600,4,800,281003886,801.5140904
600,4,900,176841828,901.6812439
600,4.5,300,428838128,300.6783226
600,4.5,400,507388476,400.8454762
600,4.5,500,934336222,501.0126297
600,4.5,600,4677561582,601.1797833
600,4.5,700,1195587634,701.3469368
600,4.5,800,579318632,801.5140904
600,4.5,900,390320882,901.6812439
600,5,300,388582980,300.6783226
600,5,400,530895704,400.8454762
600,5,500,1356448122,501.0126297
600,5,600,1402513522,601.1797833
600,5,700,943197538,701.3469368
600,5,800,564948316,801.5140904
600,5,900,432039062,901.6812439
600,5.6,300,479002144,300.6783226
600,5.6,400,486572240,400.8454762
600,5.6,500,894459944,501.0126297
600,5.6,600,1912539904,601.1797833
600,5.6,700,704453508,701.3469368
600,5.6,800,459493870,801.5140904
600,5.6,900,315648260,901.6812439
600,6.3,300,444925810,300.6783226
600,6.3,400,517820340,400.8454762
600,6.3,500,937833182,501.0126297
600,6.3,600,1853475114,601.1797833
600,6.3,700,649151562,701.3469368
600,6.3,800,473937126,801.5140904
600,6.3,900,298004380,901.6812439
600,7.1,300,530200070,300.6783226
600,7.1,400,595258270,400.8454762
600,7.1,500,1093838306,501.0126297
600,7.1,600,1646652204,601.1797833
600,7.1,700,795148960,701.3469368
600,7.1,800,560742876,801.5140904
600,7.1,900,385216040,901.6812439
600,8,300,710525428,300.6783226
600,8,400,755179476,400.8454762
600,8,500,1302143012,501.0126297
600,8,600,1676502196,601.1797833
600,8,700,965110326,701.3469368
600,8,800,637725966,801.5140904
600,8,900,473922054,901.6812439
600,9,300,604203742,300.6783226
600,9,400,682032278,400.8454762
600,9,500,1344196798,501.0126297
600,9,600,1487434108,601.1797833
600,9,700,803511294,701.3469368
600,9,800,726105256,801.5140904
600,9,900,446845954,901.6812439
600,11,300,944120404,300.6783226
600,11,400,992486138,400.8454762
600,11,500,981476186,501.0126297
600,11,600,1122313166,601.1797833
600,11,700,1154846838,701.3469368
600,11,800,855652264,801.5140904
600,11,900,624617006,901.6812439
600,13,300,952824538,300.6783226
600,13,400,880446530,400.8454762
600,13,500,1041507612,501.0126297
600,13,600,1204007550,601.1797833
600,13,700,1353423928,701.3469368
600,13,800,1040478868,801.5140904
600,13,900,773818230,901.6812439
600,14,300,1101822198,300.6783226
600,14,400,1121162496,400.8454762
600,14,500,1053974776,501.0126297
600,14,600,1587937924,601.1797833
600,14,700,1752499148,701.3469368
600,14,800,1431079284,801.5140904
600,14,900,841069182,901.6812439
600,16,300,1088546918,300.6783226
600,16,400,919088572,400.8454762
600,16,500,1257991072,501.0126297
600,16,600,1319993138,601.1797833
600,16,700,1174463226,701.3469368
600,16,800,1218395968,801.5140904
600,16,900,1109391526,901.6812439
