focus,A,actual_dist,score
450,1.8,250,511879910
450,1.8,350,385329868
450,1.8,450,1192306504
450,1.8,550,215021250
450,1.8,650,147477734
450,1.8,750,142457012
450,2,250,474800832
450,2,350,501622478
450,2,450,1061965170
450,2,550,196901508
450,2,650,159136394
450,2,750,157063352
450,2.2,250,426494560
450,2.2,350,370398782
450,2.2,450,1021859424
450,2.2,550,229501608
450,2.2,650,127904670
450,2.2,750,126747484
450,2.5,250,441543252
450,2.5,350,400322884
450,2.5,450,1013150174
450,2.5,550,252349620
450,2.5,650,125403960
450,2.5,750,129745920
450,2.8,250,419952144
450,2.8,350,368701470
450,2.8,450,1028554616
450,2.8,550,282016910
450,2.8,650,149438768
450,2.8,750,123322006
450,3.2,250,407817352
450,3.2,350,409034514
450,3.2,450,811634632
450,3.2,550,267286404
450,3.2,650,141773176
450,3.2,750,135614674
450,3.5,250,418711362
450,3.5,350,406875882
450,3.5,450,1309140750
450,3.5,550,291058134
450,3.5,650,144296306
450,3.5,750,86641914
450,4,250,483009440
450,4,350,454034270
450,4,450,1352554324
450,4,550,343213566
450,4,650,179013746
450,4,750,104921302
450,4.5,250,466297396
450,4.5,350,599370670
450,4.5,450,1443131320
450,4.5,550,523257236
450,4.5,650,341184826
450,4.5,750,209649870
450,5,250,527538330
450,5,350,737852304
450,5,450,1413702400
450,5,550,533843956
450,5,650,353774432
450,5,750,196999682
450,5.6,250,621530218
450,5.6,350,843671610
450,5.6,450,1391345380
450,5.6,550,660753108
450,5.6,650,391660884
450,5.6,750,249112218
450,6.3,250,678370996
450,6.3,350,901497532
450,6.3,450,1653044402
450,6.3,550,725228372
450,6.3,650,451469040
450,6.3,750,297003450
450,7.1,250,634135760
450,7.1,350,675341594
450,7.1,450,1038196086
450,7.1,550,475222432
450,7.1,650,347818394
450,7.1,750,254262442
450,8,250,849717104
450,8,350,868163914
450,8,450,1088686082
450,8,550,617247178
450,8,650,426723970
450,8,750,314495508
450,9,250,767938760
450,9,350,824383824
450,9,450,1454811438
450,9,550,633912292
450,9,650,422653890
450,9,750,310803830
450,10,250,950904764
450,10,350,853604308
450,10,450,1481559946
450,10,550,782072442
450,10,650,499045116
450,10,750,378479218
450,11,250,1197456568
450,11,350,1243804208
450,11,450,1661742402
450,11,550,901678242
450,11,650,692692850
450,11,750,560401658
450,13,250,1082148520
450,13,350,1305168796
