focus,A,actual_dist,,Pred_dist,Tenegrad_Score
450,1.8,250,,250.0001,511879910
450,1.8,350,,350.0001,385329868
450,1.8,450,,450.00003,1192306504
450,1.8,550,,550.00006,215021250
450,1.8,650,,650,147477734
450,1.8,750,,750,142457012
450,2,250,,250.0001,474800832
450,2,350,,350.0001,501622478
450,2,450,,450.00003,1061965170
450,2,550,,550.00006,196901508
450,2,650,,650,159136394
450,2,750,,750,157063352
450,2.2,250,,250.0001,426494560
450,2.2,350,,350.0001,370398782
450,2.2,450,,450.00003,1021859424
450,2.2,550,,550.00006,229501608
450,2.2,650,,650,127904670
450,2.2,750,,750,126747484
450,2.5,250,,250.0001,441543252
450,2.5,350,,350.0001,400322884
450,2.5,450,,450.00003,1013150174
450,2.5,550,,550.00006,252349620
450,2.5,650,,650,125403960
450,2.5,750,,750,129745920
450,2.8,250,,250.0001,419952144
450,2.8,350,,350.0001,368701470
450,2.8,450,,450.00003,1028554616
450,2.8,550,,550.00006,282016910
450,2.8,650,,650,149438768
450,2.8,750,,750,123322006
450,3.2,250,,250.0001,407817352
450,3.2,350,,350.0001,409034514
450,3.2,450,,450.00003,811634632
450,3.2,550,,550.00006,267286404
450,3.2,650,,650,141773176
450,3.2,750,,750,135614674
450,3.5,250,,250.0001,418711362
450,3.5,350,,350.0001,406875882
450,3.5,450,,450.00003,1309140750
450,3.5,550,,550.00006,291058134
450,3.5,650,,650,144296306
450,3.5,750,,750,86641914
450,4,250,,250.0001,483009440
450,4,350,,350.0001,454034270
450,4,450,,450.00003,1352554324
450,4,550,,550.00006,343213566
450,4,650,,650,179013746
450,4,750,,750,104921302
450,4.5,250,,250.0001,466297396
450,4.5,350,,350.0001,599370670
450,4.5,450,,450.00003,1443131320
450,4.5,550,,550.00006,523257236
450,4.5,650,,650,341184826
450,4.5,750,,750,209649870
450,5,250,,250.0001,527538330
450,5,350,,350.0001,737852304
450,5,450,,450.00003,1413702400
450,5,550,,550.00006,533843956
450,5,650,,650,353774432
450,5,750,,750,196999682
450,5.6,250,,250.0001,621530218
450,5.6,350,,350.0001,843671610
450,5.6,450,,450.00003,1391345380
450,5.6,550,,550.00006,660753108
450,5.6,650,,650,391660884
450,5.6,750,,750,249112218
450,6.3,250,,250.0001,678370996
450,6.3,350,,350.0001,901497532
450,6.3,450,,450.00003,1653044402
450,6.3,550,,550.00006,725228372
450,6.3,650,,650,451469040
450,6.3,750,,750,297003450
450,7.1,250,,250.0001,634135760
450,7.1,350,,350.0001,675341594
450,7.1,450,,450.00003,1038196086
450,7.1,550,,550.00006,475222432
450,7.1,650,,650,347818394
450,7.1,750,,750,254262442
450,8,250,,250.0001,849717104
450,8,350,,350.0001,868163914
450,8,450,,450.00003,1088686082
450,8,550,,550.00006,617247178
450,8,650,,650,426723970
450,8,750,,750,314495508
450,9,250,,250.0001,767938760
450,9,350,,350.0001,824383824
450,9,450,,450.00003,1454811438
450,9,550,,550.00006,633912292
450,9,650,,650,422653890
450,9,750,,750,310803830
450,10,250,,250.0001,950904764
450,10,350,,350.0001,853604308
450,10,450,,450.00003,1481559946
450,10,550,,550.00006,782072442
450,10,650,,650,499045116
450,10,750,,750,378479218
450,11,250,,250.0001,1197456568
450,11,350,,350.0001,1243804208
450,11,450,,450.00003,1661742402
450,11,550,,550.00006,901678242
450,11,650,,650,692692850
450,11,750,,750,560401658
450,13,250,,250.0001,1082148520
450,13,350,,350.0001,1305168796
450,13,450,,450.00003,2029248638
450,13,550,,550.00006,888353290
450,13,650,,650,742860990
450,13,750,,750,540144362
450,14,250,,250.0001,1383473732
450,14,350,,350.0001,1421059048
450,14,450,,450.00003,1666165214
450,14,550,,550.00006,1232058258
450,14,650,,650,789193286
450,14,750,,750,510348266
450,16,250,,250.0001,1401861998
450,16,350,,350.0001,1202063578
450,16,450,,450.00003,1539973402
450,16,550,,550.00006,1096539442
450,16,650,,650,821106988
450,16,750,,750,570822684
